"organization_name","department_name","faculties"
"LMU Klinikum","Universitätsklinikum München","med"
"Lamont-Doherty Earth Observatory","Geochemistry","mint"
"Lamont-Doherty Earth Observatory","Ocean and Climate","mint"
"Lanzhou University","Key Laboratory for Semi-Arid Climate Change of the Ministry of Education","mint"
"Lawrence Berkeley National Laboratory","Earth & Environmental Sciences","mint"
"Leibniz Centre for Tropical Marine Research","Center for Tropical Marine Research (ZMT)","mint"
"Leibniz Centre for Tropical Marine Research","Coral Ecology","mint"
"Leibniz Centre for Tropical Marine Research","Deparment of Ecology","mint"
"Leibniz Centre for Tropical Marine Research","Department of Ecology & Infrastructure Department","mint"
"Leibniz Centre for Tropical Marine Research","Department of Theoretical Ecology and Modelling","mint"
"Leibniz Centre for Tropical Marine Research","Institutional and Behavioural Economics","sowi"
"Leibniz Centre for Tropical Marine Research","Leibniz Center for Tropical Marine Ecology (ZMT) Bremen","mint"
"Leibniz Centre for Tropical Marine Research","SoNG Project, Programme Area 5 - Ocean Literacy, Equity and Leadership","mint"
"Leibniz Centre for Tropical Marine Research","Social Science Department","sowi"
"Leibniz Centre for Tropical Marine Research","Systems Ecology","mint"
"Leibniz Centre for Tropical Marine Research","Theoretical Ecology and Modelling","mint"
"Leibniz Centre for Tropical Marine Research","Tropical Marine Research","mint"
"Leibniz Centre for Tropical Marine Research","ZMT – Leibniz Center for Tropical Marine Ecology","mint"
"Leibniz Institute for Baltic Sea Research","Biological Oceanography","mint"
"Leibniz Institute for Baltic Sea Research","Marine Chemistry","mint"
"Leibniz Institute for Tropospheric Research","Atmospheric Aerosols","mint"
"Leibniz Institute for Zoo and Wildlife Research","Evolutionary Ecology","mint"
"Leibniz Institute of Agricultural Development in Transition Economies","Agricultural Markets","agrar"
"Leibniz Institute of Atmospheric Physics at the University of Rostock","Leibniz-Institute of Atmospheric Physics","mint"
"Leibniz Institute of Atmospheric Physics at the University of Rostock","Leibniz‐Institut für Atmosphärenphysik","mint"
"Leibniz Institute of Atmospheric Physics at the University of Rostock","Modelling of Atmospheric Processes","mint"
"Leibniz Institute of Plant Genetics and Crop Plant Research","Molecular Genetics","mint"
"Leibniz University Hannover","Fakultät für Mathematik und Physik, Institut f. Alg. Geometrie","mint"
"Leibniz University Hannover","Institute for Political Science","sowi"
"Leibniz University Hannover","Institute of Physical Chemistry (and Electrochemistry)","mint"
"Leibniz University Hannover","Political Science","sowi"
"Leibniz University Hannover","Technical Chemistry","mint"
"Leibniz-Institut für Arterioskleroseforschung","Epidemiology","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","Clinical Epidemiology","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","Department of Clinical Epidemiology","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","Department of epidemiological methods and etiological research","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","Leibniz Institute for Prevention Research and Epidemiology—BIPS","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","Prevention and evaluation","med"
"Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH","leibniz institute for prevention research and epidemiology-BIPS","med"
"Leibniz-Institut für Werkstofforientierte Technologien - IWT","Bremen Institute for Material Testing, Microbiology group","mint"
"Leibniz-Institut für Werkstofforientierte Technologien - IWT","Group of Ecological Microbiology","mint"
"Leibniz-Institut für Werkstofforientierte Technologien - IWT","Microbiology Group","mint"
"Leibniz-Institut für Wissensmedien","Institut für Tropenmedizin","med"
"Leipzig University","Institute für Geology and Geophysics","mint"
"Leipzig University","Institute of Geophysics and Geology","mint"
"Leon Daniello Clinical Hospital of Pneumology","Thoracic Surgery","med"
"Leuphana Universität Lüneburg","Department of Health Sciences","med"
"Leuphana Universität Lüneburg","Global Climate Change Research Group","mint"
"Leuphana Universität Lüneburg","Institut für Politikwissenschaft","sowi"
"Leuphana Universität Lüneburg","Institute for Ecology","mint"
"Leuphana Universität Lüneburg","Institute for Environmental and Sustainability Communication","sowi"
"Leuphana Universität Lüneburg","Institute for Vocational and Business Education, Didactics of Economics","sowi"
"Leuphana Universität Lüneburg","Institute of Ecology (Faculty of Sustainability) & Centre of Methods","mint"
"Leuphana Universität Lüneburg","Institute of Ecology Faculty of Sustainability Leuphana University Lueneburg","mint"
"Leuphana Universität Lüneburg","Institute of Ecology Leuphana University","mint"
"Leuphana Universität Lüneburg","Institute of Ecology and Environmental Chemistry","mint"
"Leuphana Universität Lüneburg","Institute of Experimental Industrial Psychology","sowi"
"Leuphana Universität Lüneburg","Institute of Political Science","sowi"
"Leuphana Universität Lüneburg","Institute of Psychology in Education","sowi"
"Leuphana Universität Lüneburg","Leuphana Law School","jura"
"Leuphana Universität Lüneburg","Management and Psychology","sowi"
"Leuphana Universität Lüneburg","Social-Ecological Systems Institute - Faculty of Sustainability","mint"
"Ludong University","College of Hydraulics and Civil Engineering","tech"
"Ludong University","School of Resources and Environmental Engineering","tech"
"Ludwig-Maximilians-Universität München","Department of Earth and Environmental Sciences - Geophysics","mint"
"Ludwig-Maximilians-Universität München","Department of Internal Medicine III","med"
"Ludwig-Maximilians-Universität München","Department of Media and Communications","sowi"
"Ludwig-Maximilians-Universität München","Faculty of Biology","mint"
"Ludwig-Maximilians-Universität München","Geo- and Environmental Sciences","mint"
"Ludwig-Maximilians-Universität München","Geographisches Institut, Lehrstuhl für Bodengeographie und Geoökologie","mint"
"Ludwig-Maximilians-Universität München","Historisches Seminar","phil"
"Ludwig-Maximilians-Universität München","History Department","phil"
"Ludwig-Maximilians-Universität München","Institut für Allgemeine und Angewandte Geophysik","mint"
"Ludwig-Maximilians-Universität München","Institut für Vor- und Frühgeschichtliche Archäologie und Provinzialrömische Archäologie","phil"
"Ludwig-Maximilians-Universität München","Klinik und Poliklinik für Mund-Kiefer- und Gesichtschirurgie","med"
"Ludwig-Maximilians-Universität München","Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie","med"
"Ludwig-Maximilians-Universität München","Max von Petternkofer Institute for Hygiene and Microbiology","med"
"Ludwig-Maximilians-Universität München","Molecular Pediatrics, Dr. von Hauner Children's Hospital","med"
"Lund University","Department of Geology","mint"
"Lund University","Faculty of Economics and Management","sowi"
"M.A. College, YNR, Kurukshetra University","Department of Political Science","sowi"
"MAX PLANCK INSTITUTE FOR COMPARATIVE PUBLIC LAW AND INTERNATIONAL LAW","Law and Social Sciences","jura"
"MAX PLANCK INSTITUTE FOR COMPARATIVE PUBLIC LAW AND INTERNATIONAL LAW","Max-Planck-Institute for Comparative and International Private Law","jura"
"MRC Unit the Gambia","Clinical Service Department","med"
"MSH Medical School Hamburg","Institute for Translational Medicine","med"
"MSH Medical School Hamburg","Institute of Toxicology and Environmental Medicine","med"
"Maastricht University","Maastricht University Medical Center (MUMC+); Department of Health Promotion/ School of Public Health and Primary Care","med"
"Macquarie University","Centre for Environmental Law","jura"
"Macquarie University","Dept. Biological Sciences","mint"
"Magtymguly Turkmen State University","Department of Foreign Languages, German, English, World Literature","phil"
"Manchester Metropolitan University","Department of Sociology","sowi"
"Manipal Institute of Technology","Civil Engineering","tech"
"Marienkrankenhaus Hamburg","Diabetic Foot Clinic","med"
"Marienkrankenhaus Hamburg","Director of the Department of Anesthesiology","med"
"Marienkrankenhaus Hamburg","Klinik f. Innere Medizin","med"
"Marine Biological Laboratory","The Josephine Bay Paul Center for Comparative Molecular Biology and Evolution","mint"
"Martin-Luther-Universität Halle-Wittenberg","Geobotany","mint"
"Martin-Luther-Universität Halle-Wittenberg","Institute for Medical Epidemiology","med"
"Martin-Luther-Universität Halle-Wittenberg","Institute of Biology/Geobotany and Botanical Garden","mint"
"Martin-Luther-Universität Halle-Wittenberg","Institute of History","phil"
"Martin-Luther-Universität Halle-Wittenberg","Psychology","sowi"
"Masaryk University","Departement of Botany and Zoology","mint"
"Massachusetts General Hospital","Infectious Diseases","med"
"Massachusetts General Hospital","Internal Medicine","med"
"Massachusetts Institute of Technology","Biological Engineering","tech"
"Massachusetts Institute of Technology","Department of Political Science","sowi"
"Massachusetts Institute of Technology","EAPS Oceanography","mint"
"Massachusetts Institute of Technology","Earth, Atmospheric and Planetary Sciences","mint"
"Max Planck Institut für Demografische Forschung","Center for Demographic Studies and the Department of Sociology of Duke University","sowi"
"Max Planck Institut für Demografische Forschung","China Center for Economic Research","sowi"
"Max Planck Institut für Demografische Forschung","Department of Labor Demography","sowi"
"Max Planck Institut für Demografische Forschung","Department of Sociology","sowi"
"Max Planck Institut für Demografische Forschung","Evolutionary Biodemography Laboratory","sowi"
"Max Planck Institut für Demografische Forschung","Labor Demography","sowi"
"Max Planck Institut für Demografische Forschung","Laboratory for Demographic Data","sowi"
"Max Planck Institut für Demografische Forschung","Laboratory for Digital and Computational Demography","sowi"
"Max Planck Institut für Demografische Forschung","Max-Planck-Institute for Demographic Research","sowi"
"Max Planck Institut für Demografische Forschung","Max-Planck-Institute for Demographic Research: Max-Planck-Institut fur Demografische Forschung;","sowi"
"Max Planck Institut für Demografische Forschung","Social Demography","sowi"
"Max Planck Institute for Chemistry","Max-Planck-Institut für Chemie","mint"
"Max Planck Institute for Evolutionary Anthropology","Department of Evolutionary Genetics","mint"
"Max Planck Institute for Evolutionary Anthropology","Plant Foods in Hominin Dietary Ecology research group","mint"
"Max Planck Institute for Evolutionary Biology","Evolutionary Genetics","mint"
"Max Planck Institute for Molecular Plant Physiology","Biochemistry","mint"
"Max Planck Institute for Plasma Physics - Greifswald","EURATOM-IPP Association 2 Max-Planck-Institut für Plasmaphysik","mint"
"Max Planck Institute for the Science of Human History","Archaeogenetics","mint"
"Max Planck Institute of Geoanthropology","Department of Archaeology","phil"
"Max-Planck Institute for the Study of Societies","Research Group Democratic Government and Economic Governance","sowi"
"Max-Planck-Gesellschaft","Max Institut für Chemie Abteilung Luftchemie","mint"
"Max-Planck-Institut für Informatik","Computational Systems Biology","mint"
"Max-Planck-Institut für Meteorologie","Atmosphere","mint"
